Mode,TestName,NoEvents,NoGoroutines,NoAtomicEvents,NoChannelEvents,NoSelectEvents,NoMutexEvents,NoWaitgroupEvents,NoCondVariablesEvents,NoOnceOperations
Flow,TestL03_BufferedLeakWithPartner,6,2,0,2,0,0,0,0,0
GFuzz,TestL03_BufferedLeakWithPartner,6,2,0,2,0,0,0,0,0
GFuzzHB,TestL03_BufferedLeakWithPartner,6,2,0,2,0,0,0,0,0
GFuzzHBFlow,TestL03_BufferedLeakWithPartner,6,2,0,2,0,0,0,0,0
GoPie+,TestL03_BufferedLeakWithPartner,6,2,0,2,0,0,0,0,0
GoPie+,TestL03_BufferedLeakWithPartner,7,4,0,2,0,0,0,0,0
GoPie+,TestL03_BufferedLeakWithPartner,7,26,0,2,0,0,0,0,0
GoPie,TestL03_BufferedLeakWithPartner,6,2,0,2,0,0,0,0,0
GoPie,TestL03_BufferedLeakWithPartner,7,4,0,2,0,0,0,0,0
GoPie,TestL03_BufferedLeakWithPartner,7,26,0,2,0,0,0,0,0
